번호,개방서비스명,개방서비스아이디,개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태구분코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지전화,소재지면적,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,최종수정시점,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(x),좌표정보(y),문화체육업종명,문화사업자구분명,지역구분명,총층수,주변환경명,제작취급품목내용,보험기관명,건물용도명,지상층수,지하층수,객실수,건축연면적,영문상호명,영문상호주소,선박총톤수,선박척수,선박제원,무대면적,좌석수,기념품종류,회의실별동시수용인원,시설면적,놀이기구수내역,놀이시설수,방송시설유무,발전시설유무,의무실유무,안내소유무,기획여행보험시작일자,기획여행보험종료일자,자본금,보험시작일자,보험종료일자,부대시설내역,시설규모
115,관광식당,07_24_01_P,5070000,CDFI3261042016000001,2016-12-12,,1,영업/정상,13,영업중,,,,,054-821-1056,,,경상북도 안동시 상아동 513-1번지,경상북도 안동시 석주로 203 (상아동),36611,까치구멍집,2016-12-15 13:28,I,2018-08-31 23:59,,357293.1614,343278.6397,관광식당업,,,,,,경북관광협회 지정 제라-13-72호,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,관광식당,07_24_01_P,4610000,CDFI3261041988000001,1988-09-13,,1,영업/정상,13,영업중,,,,,,,340-924,"충청남도 예산군 덕산면 신평리 163-1번지 163-3, 191-9",,,뉴가야관광호텔,2002-12-23 10:43,I,2018-08-31 23:59,,169769.9666,354736.0226,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,관광식당,07_24_01_P,5590000,CDFI3261042010000001,2010-06-14,,1,영업/정상,13,영업중,,,,,859-1302,,482-060,경기도 양주시 덕정동 350-84번지,경기도 양주시 덕정길 4  (덕정동),11450,덕화원,2010-06-21 14:19,I,2018-08-31 23:59,,205435.2776,482382.8463,관광식당업,,주거지역,,주택가주변,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,관광식당,07_24_01_P,3820000,CDFI3261042017000003,2017-08-25,,1,영업/정상,13,영업중,,,,,031-853-7601,,,경기도 의정부시 금오동 474-5번지,"경기도 의정부시 청사로48번길 25, 2,3층 (금오동, 아웃백스테이크하우스금오점)",11757,아웃백스테이크하우스 금오점,2017-08-30 13:55,I,2018-08-31 23:59,,206223.0029,472296.5741,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,관광식당,07_24_01_P,3820000,CDFI3261042017000001,2017-05-26,,1,영업/정상,13,영업중,,,,,031-826-5550,,,경기도 의정부시 호원동 50-2,"경기도 의정부시 외미로 100, 2층 205호 (호원동, 회룡타운)",11638,메이찬,2022-12-14 10:15,U,2022-12-16 2:40,,204023.1973,469064.9397,관광식당업,,,0,,,,,0,0,0,0,,,0,0,,0,0,,0,0,,0,,,,,,,0,,,,0
120,관광식당,07_24_01_P,3820000,CDFI3261042017000002,2017-07-28,,1,영업/정상,13,영업중,,,,,,,,경기도 의정부시 호원동 119-35번지,경기도 의정부시 호암로 85-8 (호원동),11645,락궁,2017-08-02 9:58,I,2018-08-31 23:59,,204097.0382,467316.7259,관광식당업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,관광식당,07_24_01_P,3820000,CDFI3261042004000001,2004-05-14,,1,영업/정상,13,영업중,,,,,846-5742,,480-843,경기도 의정부시 의정부동 201-11번지 (1층),경기도 의정부시 평화로 564 (의정부동),11692,팔가,2011-10-30 14:03,I,2018-08-31 23:59,,204086.8858,471086.0229,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,관광식당,07_24_01_P,3820000,CDFI3261042006000001,2006-04-03,,1,영업/정상,13,영업중,,,,,846-2047,,480-843,경기도 의정부시 의정부동 196-14번지,경기도 의정부시 호국로1298번길 78  (의정부동),,지동관,2009-08-03 18:23,I,2018-08-31 23:59,,204184.1939,470833.3358,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,관광식당,07_24_01_P,3140000,CDFI3261042004000001,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-715,서울특별시 양천구 목동 923-1번지 방송회관,,,주)63시티방송회관클럽백리향,2004-12-07 15:41,I,2018-08-31 23:59,,188525.0779,447159.1734,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,관광식당,07_24_01_P,3140000,CDFI3261042004000002,2004-11-11,,1,영업/정상,13,영업중,,,,,,,158-050,서울특별시 양천구 목동 923-5번지,서울특별시 양천구 목동동로 233  (목동),7995,(주)63시티방송회관클럽백리향,2005-05-07 12:25,I,2018-08-31 23:59,,188572.1087,447198.9126,관광식당업,관광사업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
