NUM,MENU_NM,AVG_PRC,식단,이미지,칼로리,지방,탄수화물,단백질
1,가든샐러드,7004,비건,https://www.limebanchan.com/data/item/1618972151/1_7J206647KeA.jpg,148,10.73,12.34,1.78
2,토마토리조또,13000,비건,https://recipe1.ezmember.co.kr/cache/recipe/2019/07/17/4f91fd98b3254fdc34d6f789d59ed7e21.jpg,304,6,51,11
3,가라아게,8159,고단백,https://recipe1.ezmember.co.kr/cache/recipe/2015/06/08/5f2cfffb8da5e20005e79197a4e80b71.jpg,413,26.29,10.26,32.38
4,잔치국수,4559,일반,https://recipe1.ezmember.co.kr/cache/recipe/2021/11/14/80d48ffe97b96ff4d2f8b0602f92639d1.jpg,447,3.94,83.16,20.78
5,가래떡구이,4432,일반,https://live.staticflickr.com/256/18170980453_50dde6bd57_z.jpg,238,0.64,52.07,4.52
6,가리비구이,30020,고단백,https://mblogthumb-phinf.pstatic.net/MjAxODA2MDdfMjg0/MDAxNTI4MzczNzUzODI2.rtSQFhX6MGVnQWzzoFg9apPiijKbb64e25MYGIRKH1Ag.UFOFh4gdW4lS2CETVvE8nPY1k0bRuSuncAmVnOA3XC8g.JPEG.witchyoli/%EA%B0%80%EB%A6%AC%EB%B9%84_%EB%B2%84%ED%84%B0%EA%B5%AC%EC%9D%B4_%282%29.JPG?type=w800,249,7.3,5.52,38.22
7,보쌈,18000,고단백,https://img.siksinhot.com/article/1605170892582417.jpg,581,50.15,2.86,27.85
8,칼국수,8000,일반,https://www.cj.co.kr/images/theKitchen/PHON/0000001966/0000007748/0000001966.jpg,420,8.79,71.74,16.04
9,설렁탕,7577,일반,https://cdn.oasis.co.kr:48581/product/60841/thumb/thumb_608414cea157c-15a5-467f-9095-ae890936f8a4.jpg,424,12.93,42.7,32.67
10,우동,5016,일반,https://udon0410.com/wp-content/themes/udon0410/assets/images/main_section02_01.png,375,2.5,77,11
11,간고등어구이,9275,고단백,https://gomean.co.kr/wp-content/uploads/2023/07/gm-grilled-mackerel-main.jpg,379,25.19,0.7,35.18
12,간장게장,21132,일반,https://cdn.oasis.co.kr:48581/product/52477/thumb/thumb_52477680446b5-5a05-4450-b778-1ae2c979ee38.jpg,251,4.52,12.26,40.32
13,우삼겹숙주볶음,11447,키토,https://sitem.ssgcdn.com/48/92/23/item/1000071239248_i1_750.jpg,402,33,12.4,12.6
14,순대,3970,일반,https://cdn.oasis.co.kr:48581/product/67112/thumb/thumb_6711215b5ab25-e4cb-44a5-a431-e4064d7eb739.jpg,269,8.52,27.51,18.97
15,국밥,6422,일반,https://cdn.oasis.co.kr:48581/product/78096/thumb/thumb_7809619e9bd04-e819-4aa4-a665-1f30af0287a8.jpg,307,10.41,23.46,27.58
16,순대볶음,10051,일반,https://s3.ap-northeast-2.amazonaws.com/meesig/v3/prod/image/item/main/383/9a99ecac67e04594ae544197e53a101220170818125931,240,7.87,25.35,17.16
