FOOD_ID,FOOD_NAME,FOOD_GROUP,FOOD_INTAKE,INTAKE_UNIT,FOOD_CAL,FOOD_PROTEIN,FOOD_CARBO,FOOD_PROVI,FOOD_SALT,FOOD_CHOLE
1,꿩불고기,구이류,500,g,368.8,33.5,8.5,39.7,1264.31,106.18
2,닭갈비,구이류,400,g,595.61,45.9,25.8,44.9,1535.83,193.4
3,닭갈비,구이류,300,g,558.47,45.5,31.6,23.1,1016.94,217.67
4,닭꼬치,구이류,70,g,176.72,11.56,8.57,13.35,286.91,31.44
5,더덕구이,구이류,100,g,184,3.1,5.2,31.1,743.37,0.12
6,돼지갈비,구이류,100,g,240.32,19.5,14.4,8.1,404.66,49.34
7,불고기,구이류,150,g,395.29,34.4,25.2,7.8,560.71,68.85
8,붕장어소금구이,구이류,100,g,296.54,26,16.2,11.6,124.75,167.07
9,소양념갈비구이,구이류,300,g,989.15,60.1,71.6,26.2,1378.45,186.63
10,양념왕갈비,구이류,150,g,480.81,27.1,35.3,13.7,548.76,58.52
11,양념장어구이,구이류,150,g,433.35,30.77,30.56,8.8,704.64,215.24
12,임연수구이,구이류,250,g,494,53.8,29.4,3.5,1568.96,212.61
13,햄버그스테이크,구이류,200,g,457.7,26.96,29.65,20.76,950.22,70.28
14,황태구이,구이류,200,g,437.57,47.8,15.4,26.9,1135.33,211.58
15,훈제오리,구이류,250,g,797.14,43.06,64.07,12.08,1220.37,171
16,게국지,국 및 탕류,1100,g,415.25,44.9,12.1,31.7,4047.26,388.15
17,곰치국,국 및 탕류,1000,g,419.29,54.3,11.8,23.9,3802.06,476.47
18,굴국밥,국 및 탕류,650,g,683,42.4,17.8,88.4,1635.39,518.37
19,김치국,국 및 탕류,450,g,89,5.4,2.8,10.5,1642.08,0
20,떡만둣국,국 및 탕류,700,g,624.92,20.06,11.32,110.71,1980.19,122.42
21,만둣국,국 및 탕류,700,g,434.05,21.43,17.44,47.83,2367.99,94.52
22,맑은감자국,국 및 탕류,700,g,221,8.3,5.5,34.6,1712.29,5.46
23,매생이국,국 및 탕류,500,g,119,10,2.8,13.4,1420.3,6.62
24,무된장국,국 및 탕류,450,g,104,6.1,2.4,14.7,1741.46,0
25,미소된장국,국 및 탕류,150,g,38,2.8,1.8,2.8,517.03,0
26,바지락조개국,국 및 탕류,550,g,157,22,3.1,10.1,1596.17,89.36
27,뼈다귀해장국,국 및 탕류,1000,g,714,74.6,35.7,23.4,3088.21,321.72
28,선지해장국,국 및 탕류,1000,g,312,49.3,5.4,16.7,3074.53,230.52
29,소고기무국,국 및 탕류,400,g,123,14.2,4,7.8,1067.02,38.43
30,시래기된장국,국 및 탕류,450,g,99,6.7,3.1,11,1523.66,0
31,올갱이국,국 및 탕류,600,g,144.26,13.7,4.2,13,2017.16,85.36
32,우거지해장국,국 및 탕류,600,g,154.38,11.9,5.9,13.5,2049.59,22.37
33,우렁된장국,국 및 탕류,500,g,245,24.6,7.7,19.2,2134.21,105.38
34,홍합미역국,국 및 탕류,650,g,167,19.7,4.7,11.6,2043.68,58.4
35,황태해장국,국 및 탕류,600,g,181.7,24.5,6.8,5.7,1533.09,150.3
36,고추잡채,볶음류,200,g,256.77,10.99,12.01,26.17,828.55,39.26
37,난자완스,볶음류,200,g,346.25,21.63,20.35,19.15,703.23,76.76
38,도토리묵말이,기타,1300,g,462.39,6.8,8.5,89.7,3206.03,0
39,라조기,튀김류,200,g,398.99,20.66,23.49,26.23,648.52,90.58
40,물회,회류,700,g,529.36,34.4,18.9,55.3,2095.9,120.26
41,생선물회,회류,800,g,577.97,34.3,12.3,82.5,2779.74,101.88
42,소고기샤브샤브,찌개 및 전골류,600,g,263.75,29.1,9.8,14.7,1122.4,76.02
43,오징어순대,찜류,350,g,466.86,45.7,5.6,58.3,1258.71,517.44
44,초당순두부,국 및 탕류,900,g,522.69,49.1,29.2,15.8,1203.36,0
45,해파리냉채,생채및 무침류,150,g,91,6.2,1.4,13.4,508.77,40.33
46,고들빼기,김치류,50,g,55.53,1.58,0.61,10.93,742.43,2.98
47,열무얼갈이김치,김치류,50,g,17.68,1.07,0.33,2.61,339.9,1.03
48,미나리나물,숙채류,50,g,29.53,1.02,1.83,2.24,150.33,0
49,취나물,숙채류,50,g,74.1,1.37,6.15,3.31,281.86,0
50,경단(깨),곡류 및 서류,100,g,319.47,4.44,0.54,74.22,180,0
51,경단(콩),곡류 및 서류,100,g,314.32,3.51,0.46,74.03,225.83,0
52,기피편,곡류 및 서류,100,g,219.97,5.45,0.25,48.99,281.06,0
53,녹두시루떡,곡류 및 서류,100,g,246.07,7.74,2.53,48.08,263.66,0
54,메밀전병,곡류 및 서류,100,g,167.83,6.18,6.29,21.62,345.8,8.05
55,무지개떡,곡류 및 서류,100,g,228.97,3.53,0.31,53.01,276.82,0
56,송편(깨),곡류 및 서류,100,g,224.15,4.92,2.74,44.96,231.82,0
57,송편(콩),곡류 및 서류,100,g,194.33,5.24,0.75,41.66,233.5,0
58,수수부꾸미,곡류 및 서류,100,g,247.89,5.73,6.29,42.1,261,0
59,수수팥떡,곡류 및 서류,100,g,204.24,6.7,0.59,43.03,241.93,0
60,시루떡,곡류 및 서류,100,g,217.48,5.47,0.61,47.54,277.91,0
61,쑥떡,곡류 및 서류,100,g,248.63,3.36,0.4,57.89,254.32,0
62,절편,곡류 및 서류,100,g,192.89,3.64,0.28,43.94,265.87,0.03
63,찹쌀떡,곡류 및 서류,100,g,276.87,3.26,0.15,65.61,225.61,0
64,간자장,면 및 만두류,650,g,824.54,22.33,22.03,134.22,2716.2,28.73
65,굴짬뽕,면 및 만두류,900,g,680.67,32.87,9.6,115.69,2662.35,163.31
66,기스면,면 및 만두류,1000,g,606.93,37.82,10.72,89.79,2764.59,416.54
67,김치라면,면 및 만두류,650,g,552,13.8,16.9,86.2,2531.6,45.65
68,김치우동,면 및 만두류,800,g,500.18,15.55,4.6,99.14,2874.6,14.13
69,냉김치말이국수,면 및 만두류,600,g,302.53,12.9,4.8,52,2121.62,88.95
70,닭칼국수,면 및 만두류,900,g,663,42.2,12.8,94.7,2125.17,95.67
71,둘깨칼국수,면 및 만두류,600,g,457.88,17.6,16.5,59.8,1192.57,3.36
72,막국수,면 및 만두류,1000,g,571.59,20,5.8,109.8,3260.05,43.17
73,삼선우동,면 및 만두류,1000,g,691.66,47.94,8.48,105.9,2722.32,620.9
74,삼선자장면,면 및 만두류,700,g,803.9,33.64,18.14,126.53,2628.24,166.56
75,삼선짬뽕,면 및 만두류,900,g,662.37,39.63,10.77,101.73,2689.13,312.48
76,쌀국수,면 및 만두류,600,g,320.32,15.6,4.2,55.1,1651.58,33.6
77,열무김치국수,면 및 만두류,800,g,431,15,10.2,69.6,3007.45,15.37
78,열무냉면,면 및 만두류,800,g,525.49,20.84,5.78,97.52,3152.37,67.78
79,오일소스스파게티,면 및 만두류,400,g,646.74,19.56,23.43,89.42,1124.33,31.62
80,올갱이국수,면 및 만두류,1500,g,566,11.2,8.3,111.6,3862.84,0
81,우동(일식),면 및 만두류,700,g,421.51,13.39,7.91,74.2,2390.32,25.98
82,우동(중식),면 및 만두류,1000,g,648.47,29.45,21.02,85.37,3395.86,208.42
83,울면,면 및 만두류,1000,g,728.86,37.46,7.37,128.18,2799.92,445.79
84,자장면,면 및 만두류,650,g,796.5,19.77,20.32,133.63,2391.58,10.76
85,짬뽕라면,면 및 만두류,750,g,689,21.3,26.3,92,2493.81,106.69
86,치즈라면,면 및 만두류,600,g,595,16.8,23,80,2113.4,103.67
87,크림소스스파게티,면 및 만두류,400,g,837.57,21.79,50.59,73.76,1030.21,126.58
88,토마토소스스파게티,면 및 만두류,500,g,642.58,24.35,19.15,93.2,1508.63,49.17
89,해물칼국수,면 및 만두류,900,g,628.26,22.8,4.61,123.9,2355.07,26.7
90,해물크림소스스파게티,면 및 만두류,500,g,917.57,30.39,49.79,86.97,1323.7,210.89
