imglink,company,title,link,star,effect1,effect2,gender,age
http://imgproxy.pillyze.io/jWzfMp7Q4CluzuT1IKNirIa8EZg50ohtPdduFKu9E9E/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xay85MzYzOGUyZS0xNzMwLzUwMA,쏜리서치,SAT,https://www.pillyze.com/products/1730/SAT,4.79,피로 개선 77%,숙취 감소 45%,UNISEX,ANY
https://imgproxy.pillyze.io/L2tYMO5WYFFhqW4X4uRwq0gwZ4HRjiP1I50GbhkuBnk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay9jMGJjM2Q4Ny05MzYwLzEwMDA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1040mg),https://www.pillyze.com/products/9360/트리플-스트렝스-오메가3-피쉬오일-(오메가3-1040mg),4.74,피로 개선 43%,콜레스테롤 수치 개선 26%,UNISEX,ANY
http://imgproxy.pillyze.io/qepgDD7uGSV96ukXRK4Q0HRX0bVjFn8XjMws4CGL7kQ/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMWsvMzVjZTM5MWItMTEwNzAvNTAw,쏜리서치,칼슘 마그네슘 말레이트,https://www.pillyze.com/products/11070/칼슘-마그네슘-말레이트,4.73,눈 떨림 개선 49%,근육통 완화 25%,UNISEX,ANY
http://imgproxy.pillyze.io/Mh_SZxAZTQ7s05t0MAEp3IWB5uJDNblD8ZLUxPsWbHI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way84ZDllZjBkNy00NzMvNTAw,고려은단,비타민C 1000 이지 + 비타민D,https://www.pillyze.com/products/473/비타민C-1000-이지-+-비타민D,4.7,감기 덜 걸림 47%,얼굴색 좋아짐 21%,UNISEX,ANY
https://imgproxy.pillyze.io/0YPFnTvRIzpr4G-_1PbVQJF0goFQr2pFmdFE5kcMsrI/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMmsvYzIzZjQyYzYtMTI5NDAvMTAwMA,스포츠리서치,트리플 스트렝스 오메가3 피쉬오일 (오메가3 1055mg),https://www.pillyze.com/products/12940/트리플-스트렝스-오메가3-피쉬오일-(오메가3-1055mg),4.7,피로 개선 47%,콜레스테롤 수치 개선 28%,UNISEX,ANY
https://imgproxy.pillyze.io/rYFMdgvkRNYF2lHenyKQrvQrM6e3rUeDzBEs66ovmlk/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way8wYWI1NWQwYy0yNzAvMTAwMA,자로우포뮬라,우먼스 펨 도필러스 10억(해외),https://www.pillyze.com/products/270/우먼스-펨-도필러스-10억(해외),4.71,질염 발생 빈도 감소 77%,변비 개선 26%,UNISEX,ANY
https://imgproxy.pillyze.io/5Ws6Vgu7LIm_2XnfgrNzsPDGAciDs6hNaxJo4N36U8c/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS85ay82Mzg2ZTRlNi05MzU5LzEwMDA,캘리포니아골드뉴트리션,락토비프 프로바이오틱스 300억,https://www.pillyze.com/products/9359/락토비프-프로바이오틱스-300억,4.7,변비 개선 62%,복부 가스 덜 참 37%,UNISEX,ANY
https://imgproxy.pillyze.io/qm9ZGhGO5Xvsbs2zeLx_BVEygHcQYleF0uvedEaWn1s/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8way80MTk1NTIxMy0xLzEwMDA,고려은단,비타민C 1000,https://www.pillyze.com/products/1/비타민C-1000,4.67,감기 덜 걸림 52%,얼굴색 좋아짐 25%,UNISEX,ANY
https://imgproxy.pillyze.io/XOMc0WuGNheiQo-FTPiUYkp-wnlXYVgVveh1sSCkxZ4/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xNmsvOWNmNmE4OTEtMTYwMzQvMTAwMA,담백하루,초임계 알티지 오메가에센스 1000,https://www.pillyze.com/products/16034/초임계-알티지-오메가에센스-1000,4.72,콜레스테롤 수치 개선 30%,수면질 개선 27%,UNISEX,ANY
http://imgproxy.pillyze.io/3lBOyRNx_UxwVNT1Sczb9TO1fn46LZZvOZ5tYV-aNR8/rs:fill:300:300/czM6Ly9waWxseXplLXByZC1pbWFnZS9wcm9kdWN0cy92MS8xMGsvNWVlZjVjMTAtMTA4NDMvNTAw,쏜리서치,베이직 B 컴플렉스,https://www.pillyze.com/products/10843/베이직-B-컴플렉스,4.71,피로 개선 93%,감기 덜 걸림 22%,UNISEX,ANY
